,title,MFCCs,views,rating
662,Intro (live),"[[-525.175124   -384.13305815 -130.99873293 ... -525.175124
  -525.175124   -525.175124  ]
 [   0.           86.3904392    94.52628136 ...    0.
     0.            0.        ]
 [   0.           -8.75697053  -21.05901509 ...    0.
     0.            0.        ]
 ...
 [   0.            8.56004584   -0.62755096 ...    0.
     0.            0.        ]
 [   0.           -6.89434294    2.11246245 ...    0.
     0.            0.        ]
 [   0.          -18.67224872  -20.9927791  ...    0.
     0.            0.        ]]",970419,4.7266159
663,I Just Want To Be (live),"[[-472.81217349 -472.81217349 -370.99031769 ...   29.4327518
     8.64383362  -35.04741049]
 [   0.            0.           58.50307504 ...   85.99138932
    81.7390681    72.41111362]
 [   0.            0.           -8.68110127 ...  -82.65151621
   -84.87764672  -82.33821648]
 ...
 [   0.            0.          -20.04572979 ...  -13.69097326
    -6.70330447   -1.47074477]
 [   0.            0.           -8.90082575 ...    4.16678411
     7.16725158   10.14808035]
 [   0.            0.            4.1864155  ...  -10.43480114
    -8.18265512   -3.92246984]]",189402,4.8382688
664,Back & Forth (live),"[[-609.56149094 -609.56149094 -609.56149094 ... -609.56149094
  -609.56149094 -609.56149094]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",20183,4.8473282
665,Sparkle (live),"[[-582.29382906 -582.29382906 -582.29382906 ...  -71.45372907
  -100.11292221 -183.57936704]
 [   0.            0.            0.         ...   71.63476113
    67.63417469   67.02673513]
 [   0.            0.            0.         ...   -3.37677368
    -3.58958314    0.9282409 ]
 ...
 [   0.            0.            0.         ...   -5.91467696
    -1.92309175    0.67715007]
 [   0.            0.            0.         ...  -10.39626137
    -7.34874351   -2.60471464]
 [   0.            0.            0.         ...   -8.14161163
    -9.78280001   -8.92749063]]",268058,4.8582678
666,Keep It Hot (live),"[[-484.07690002 -277.36350086  -97.19419862 ...  -45.2933499
   -75.15092401 -135.40737758]
 [  22.40471976  102.93118423   59.77963041 ...  103.77035231
   100.85002996   97.02007096]
 [  11.29800006  -29.73989604  -29.08177845 ...  -51.92509161
   -51.66615835  -48.63827629]
 ...
 [   8.14438646   -1.83374106   -4.34607501 ...  -10.21450732
    -8.49426979   -5.04555092]
 [   6.59581721  -13.30432464   -2.66392793 ...    6.31372066
     7.22714907    8.11185683]
 [   2.47695433  -15.25435328  -20.90700767 ...   -4.04393862
    -4.009556     -4.2481523 ]]",76255,4.7352943
667,Skin I'm In (live),"[[-7.22534532e+02 -7.22534532e+02 -7.22534532e+02 ... -1.97118105e+02
  -3.03606106e+02 -6.60522317e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.33366033e+02
   1.31290066e+02  3.64286185e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.46766056e+01
  -4.80486407e+01 -1.71907776e+01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.40612174e-01
  -5.41489186e-01 -6.34573796e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.38386425e+01
  -1.40986589e+01  9.42954658e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.34387935e+01
  -1.39607178e+01  4.26529642e+00]]",16423,4.8421054
668,Mega Mix (live),"[[-5.63899226e+02 -5.63899226e+02 -5.63899226e+02 ... -5.63725964e+02
  -5.63618450e+02 -5.63717248e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.45011186e-01
   3.97047607e-01  2.57336102e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.44955838e-01
   3.96957914e-01  2.57277970e-01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.43186899e-01
   3.94091299e-01  2.55420047e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.42800512e-01
   3.93465148e-01  2.55014224e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.42377561e-01
   3.92779742e-01  2.54569996e-01]]",4620,4.7974682
669,Shake Your Pants (live),"[[-552.51287451 -544.74829212 -517.59342256 ... -552.51287451
  -552.51287451 -552.51287451]
 [   0.           10.90236162   40.07718174 ...    0.
     0.            0.        ]
 [   0.           10.67746061   32.57071377 ...    0.
     0.            0.        ]
 ...
 [   0.            7.23027522    7.98579317 ...    0.
     0.            0.        ]
 [   0.            6.9334688     4.78688033 ...    0.
     0.            0.        ]
 [   0.            6.72623971    1.86808821 ...    0.
     0.            0.        ]]",1283143,4.8393669
670,Candy (live),"[[-5.35568788e+02 -5.35568788e+02 -4.68352651e+02 ... -3.23263632e+01
  -4.17629462e+01 -7.74901658e+01]
 [ 0.00000000e+00  0.00000000e+00  2.23431221e+01 ...  9.63800247e+01
   1.01947042e+02  1.06087719e+02]
 [ 0.00000000e+00  0.00000000e+00  2.00215185e+01 ... -8.65446846e+01
  -8.55702937e+01 -7.70961423e+01]
 ...
 [ 0.00000000e+00  0.00000000e+00 -9.17590780e+00 ... -1.50027320e+01
  -1.49129120e+01 -1.39178240e+01]
 [ 0.00000000e+00  0.00000000e+00 -2.32581717e-01 ... -3.65022759e-01
   4.89523837e+00  3.41761110e+00]
 [ 0.00000000e+00  0.00000000e+00  1.13235755e+00 ... -4.91759951e+00
  -5.01438573e+00 -1.45070461e+00]]",818359,4.8588362
671,Nasty (live),"[[-499.86794177 -499.86794177 -499.86794177 ... -499.86794177
  -499.86794177 -499.86794177]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",210,5
672,Why Have I Lost You (live),"[[-479.24762467 -479.24762467 -479.24762467 ...  -60.8672278
  -105.8434245  -236.20143167]
 [   0.            0.            0.         ...   99.40814007
    79.64417965   61.29247539]
 [   0.            0.            0.         ...  -63.63889581
   -62.81132502  -56.84503669]
 ...
 [   0.            0.            0.         ...    0.8060619
    11.38062101   18.82173696]
 [   0.            0.            0.         ...   -6.87701402
    -9.46431396  -12.77271225]
 [   0.            0.            0.         ...  -11.08217292
   -14.02172752  -11.26019256]]",16717,4.716814
673,Flirt,"[[-612.21107718 -612.21107718 -612.21107718 ... -612.21107718
  -612.21107718 -612.21107718]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1029180,4.8250237
674,Candy,"[[-585.08238014 -585.08238014 -585.08238014 ... -585.08238014
  -585.08238014 -585.08238014]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",28105383,4.8524089
675,Back And Forth,"[[-587.80573876 -587.80573876 -587.80573876 ... -587.80573876
  -587.80573876 -587.80573876]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",4383706,4.8532324
676,Anything You Wanna Do,"[[-518.76536043 -518.76536043 -518.76536043 ... -518.76536043
  -518.76536043 -518.76536043]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",4991,4.3802819
677,I'll Be With You,"[[-516.72052227 -516.72052227 -516.72052227 ... -516.72052227
  -516.72052227 -516.72052227]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",34114,4.6993465
678,I Want You,"[[-542.00945057 -542.00945057 -542.00945057 ... -542.00945057
  -542.00945057 -542.00945057]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",7189,4.7931032
679,Two Of Us,"[[-502.55953066 -502.55953066 -502.55953066 ... -502.55953066
  -502.55953066 -502.55953066]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",21062,4.786325
680,Stand Up,"[[-5.35216289e+02 -5.35216289e+02 -5.35216289e+02 ... -4.54567059e+02
  -4.95698359e+02 -5.35216289e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  7.08259275e+01
   4.59172587e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.25133403e+01
   2.68191892e+01  0.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.39620095e+00
  -4.68261267e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.53066059e+00
  -9.37381089e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.95262952e+00
  -6.75843363e-01  0.00000000e+00]]",15029,4.7117119
681,C On The Funk,"[[-552.24868797 -552.24868797 -552.24868797 ... -552.24868797
  -552.24868797 -552.24868797]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",17416,4.6540542
682,Don't Be Lonely,"[[-575.27217815 -575.27217815 -575.27217815 ... -575.27217815
  -575.27217815 -575.27217815]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1018585,4.8208232
683,You Can Have The World,"[[-5.45661119e+02 -5.45661119e+02 -5.45661119e+02 ... -5.08402236e+02
  -5.00953989e+02 -5.00585387e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.39561672e+01
   3.87930935e+01  4.82996905e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.86461849e+01
   2.76961112e+01  3.31935830e+01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.45137504e+00
   8.31486905e-01  1.07556905e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.75478390e-01
  -2.45833046e+00  1.05064579e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.05373940e+00
   3.14278431e+00  3.04600203e+00]]",8901,4.7941175
684,The Fan,"[[-648.08780432 -648.08780432 -648.08780432 ... -487.33945152
  -548.35778884 -630.77636363]
 [   0.            0.            0.         ...   61.52008441
    67.2693607    22.45896305]
 [   0.            0.            0.         ...   32.7674907
    34.24292343   17.13304687]
 ...
 [   0.            0.            0.         ...    9.55269365
    15.67203954   -3.97197037]
 [   0.            0.            0.         ...    9.88567249
     3.32757752   -7.12154324]
 [   0.            0.            0.         ...  -14.74913363
   -17.46774917   -9.5929227 ]]",61170,4.8413596
685,Feats Don't Fail Me Now,"[[-605.48365291 -605.48365291 -605.48365291 ... -605.48365291
  -605.48365291 -605.48365291]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",151877,4.8958535
686,Skin It Back,"[[-588.50482501 -588.50482501 -588.50482501 ... -588.50482501
  -588.50482501 -588.50482501]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",113116,4.6461058
687,Strawberry Flats,"[[-540.28924957 -540.28924957 -540.28924957 ... -540.28924957
  -540.28924957 -540.28924957]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",26946,4.0171428
688,China White,"[[-5.93649292e+02 -5.92039831e+02 -5.87825329e+02 ... -5.93239113e+02
  -5.93491716e+02 -5.93649292e+02]
 [ 0.00000000e+00  2.27500685e+00  8.21646371e+00 ...  5.79109578e-01
   2.22426461e-01  0.00000000e+00]
 [ 0.00000000e+00  2.27166843e+00  8.15717838e+00 ...  5.76198413e-01
   2.21169927e-01  0.00000000e+00]
 ...
 [ 0.00000000e+00  2.16917407e+00  6.48649504e+00 ...  4.85774397e-01
   1.82195368e-01  0.00000000e+00]
 [ 0.00000000e+00  2.14783179e+00  6.17488479e+00 ...  4.66690318e-01
   1.73984037e-01  0.00000000e+00]
 [ 0.00000000e+00  2.12488132e+00  5.85365254e+00 ...  4.46070483e-01
   1.65117870e-01  0.00000000e+00]]",21597,4.7731957
689,Rock And Roll Doctor,"[[-592.7751966 -592.7751966 -592.7751966 ... -592.7751966 -592.7751966
  -592.7751966]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 ...
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]]",183695,4.8712645
690,All That You Dream,"[[-567.48975569 -567.48975569 -567.48975569 ... -567.48975569
  -567.48975569 -567.48975569]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",353812,4.913959
691,Gringo,"[[-576.40757592 -576.40757592 -576.40757592 ... -566.83820299
  -572.44017676 -576.40757592]
 [   0.            0.            0.         ...   13.13870874
     5.59193919    0.        ]
 [   0.            0.            0.         ...   12.03762462
     5.53579002    0.        ]
 ...
 [   0.            0.            0.         ...    3.77225023
     3.94880007    0.        ]
 [   0.            0.            0.         ...    3.43106036
     3.65180308    0.        ]
 [   0.            0.            0.         ...    2.91159049
     3.34533737    0.        ]]",95541,4.8293138
692,Rocket In My Pocket,"[[-5.94033953e+02 -5.63564151e+02 -4.62325726e+02 ... -5.94033953e+02
  -5.94033953e+02 -5.94033953e+02]
 [ 0.00000000e+00  8.94919011e+00  4.26260371e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -2.78895494e+01 -7.52081830e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 0.00000000e+00  1.04050202e+01  1.50617703e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  3.24821608e+00 -3.28945164e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -3.83554141e+00  3.50542033e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",121498,4.9106345
693,Lonesome Whistle,"[[-593.37404366 -593.37404366 -593.37404366 ... -591.57515949
  -593.37404366 -593.37404366]
 [   0.            0.            0.         ...    2.53981583
     0.            0.        ]
 [   0.            0.            0.         ...    2.52727108
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    2.14659593
     0.            0.        ]
 [   0.            0.            0.         ...    2.06851187
     0.            0.        ]
 [   0.            0.            0.         ...    1.98504515
     0.            0.        ]]",8229,4.8666668
694,Teenage Warrior (LP Version),"[[-6.04769590e+02 -6.04769590e+02 -6.04481028e+02 ... -6.04399029e+02
  -6.04577614e+02 -6.04769590e+02]
 [ 0.00000000e+00  0.00000000e+00  4.07320256e-01 ...  5.23065997e-01
   2.70983707e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  4.05019218e-01 ...  5.20111087e-01
   2.69452863e-01  0.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  3.33646741e-01 ...  4.28457123e-01
   2.21969886e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  3.18609675e-01 ...  4.09147065e-01
   2.11965964e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  3.02373435e-01 ...  3.88297070e-01
   2.01164251e-01  0.00000000e+00]]",6459,4.443038
695,Daily Grind (LP Version),"[[-598.37999782 -598.37999782 -598.37999782 ... -598.37999782
  -598.37999782 -598.37999782]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",158,4.5
696,That's Her_ She's Mine (LP Version),"[[-621.12305383 -621.12305383 -621.12305383 ... -621.12305383
  -621.12305383 -621.12305383]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",6475,5
697,Feelin's All Gone (LP Version),"[[-597.65639558 -597.65639558 -597.65639558 ... -597.65639558
  -597.65639558 -597.65639558]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",6609,4.4857144
698,Woman In Love (LP Version),"[[-620.94347331 -620.94347331 -620.94347331 ... -620.94347331
  -620.94347331 -620.94347331]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",5705,4.609756
699,The Ingenue (LP Version),"[[-5.74066495e+02 -2.35802729e+02 -1.01760346e+02 ... -1.28449021e+02
  -2.83050708e+02 -5.74066495e+02]
 [ 0.00000000e+00  9.04951509e+01  1.07052504e+02 ...  1.46371232e+02
   1.37008100e+02  0.00000000e+00]
 [ 0.00000000e+00 -7.49662622e+01 -9.14477727e+01 ... -7.96397462e+01
  -6.97397654e+01  0.00000000e+00]
 ...
 [ 0.00000000e+00  4.74505103e+00  3.18011223e+00 ... -9.19597422e-02
   8.19649430e+00  0.00000000e+00]
 [ 0.00000000e+00  2.99945415e+00  2.13828642e+00 ...  4.57114764e+00
   4.36794424e+00  0.00000000e+00]
 [ 0.00000000e+00  2.26218880e+00  8.63180568e-01 ... -1.34786693e+01
  -1.00267455e+01  0.00000000e+00]]",5148,4.8888888
700,Texas Twister (LP Version),"[[-648.32661274 -648.32661274 -648.32661274 ... -648.32661274
  -648.32661274 -648.32661274]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",195837,4.8425198
701,Silver Screen (LP Version),"[[-618.98176486 -618.98176486 -618.14502864 ... -618.98176486
  -618.98176486 -618.98176486]
 [   0.            0.            1.18239589 ...    0.
     0.            0.        ]
 [   0.            0.            1.17961478 ...    0.
     0.            0.        ]
 ...
 [   0.            0.            1.09248268 ...    0.
     0.            0.        ]
 [   0.            0.            1.0738982  ...    0.
     0.            0.        ]
 [   0.            0.            1.05373677 ...    0.
     0.            0.        ]]",4072,4.478261
702,Representing The Mambo (LP Version),"[[-514.20980634 -514.20980634 -514.20980634 ... -514.20980634
  -514.20980634 -514.20980634]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",21406,4.6088891
703,Those Feat'll Steer Ya Wrong Sometimes  (LP Version),"[[-582.80655777 -582.80655777 -582.80655777 ... -582.80655777
  -582.80655777 -582.80655777]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",10039,4.6666665
704,Hamburger Midnight (2006 Remstered LP Version),"[[-534.68211044 -534.68211044 -534.68211044 ... -534.68211044
  -534.68211044 -534.68211044]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",4991,4.1688313
705,Home Ground (2006 Remastered Album Version),"[[-520.20697431 -520.20697431 -520.20697431 ... -520.20697431
  -520.20697431 -520.20697431]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1901,4.5999999
706,Cadillac Hotel (2006 Remastered Album Version),"[[-525.32115214 -525.32115214 -525.32115214 ... -525.32115214
  -525.32115214 -525.32115214]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1522,4.5862069
707,Down On The Farm (2006 Remastered Edit Version),"[[-515.16832367 -515.16832367 -515.16832367 ... -515.16832367
  -515.16832367 -515.16832367]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1941,4.5409837
708,Tripe Face Boogie (2006 Remastered LP Version),"[[-531.14712791 -531.14712791 -531.14712791 ... -531.14712791
  -531.14712791 -531.14712791]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",2341,4.0769229
709,All That You Dream (2006 Remastered Live LP Version),"[[-540.3980919  -540.3980919  -540.3980919  ... -164.73418486
  -175.90279291 -208.7004486 ]
 [   0.            0.            0.         ...   59.01213559
    63.70260054   67.6729933 ]
 [   0.            0.            0.         ...  -59.06775419
   -56.05149486  -55.32239311]
 ...
 [   0.            0.            0.         ...    5.49636271
    10.58003391   12.25283675]
 [   0.            0.            0.         ...    3.42046509
     1.15115699   -0.69511761]
 [   0.            0.            0.         ...   -4.59643869
    -3.28148696   -1.37442893]]",3409,4.5185184
710,Let It Roll (2006 Remastered LP Version),"[[-625.39564044 -625.39564044 -625.39564044 ... -625.39564044
  -625.39564044 -625.39564044]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1006804,4.820787
711,La Bella Jig,"[[-476.89634773 -476.89634773 -476.89634773 ... -476.89634773
  -476.89634773 -476.89634773]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",431,5
712,Skinhead Girl,"[[-467.98617265 -467.98617265 -467.98617265 ... -467.98617265
  -467.98617265 -467.98617265]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",200722,4.8985786
713,Flour Dumpling,"[[-487.75461214 -487.75461214 -487.75461214 ... -487.75461214
  -487.75461214 -487.75461214]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",640,5
714,Stay With Him,"[[-466.23783667 -466.23783667 -466.23783667 ... -466.23783667
  -466.23783667 -466.23783667]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1325,5
715,Must Catch A Train,"[[-550.37539052 -550.37539052 -550.37539052 ... -550.37539052
  -550.37539052 -550.37539052]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",74790,4.9614148
